timestamp,memory_used_MiB
1785111227.8816695,9940
1785111228.4262323,9939
1785111228.9698803,9945
1785111229.5037296,9945
1785111230.0468247,9945
1785111230.5805295,9945
1785111231.1249702,9949
1785111231.6707635,9949
1785111232.2013638,9949
1785111232.7424898,9945
1785111233.2854679,9942
1785111233.8185937,9955
1785111234.35122,9958
1785111234.8850243,9959
1785111235.4173968,9959
1785111235.9482143,9957
1785111236.4767547,9957
1785111237.0077522,9957
1785111237.5383897,9957
1785111238.0680957,9957
1785111238.599514,9957
1785111239.143478,9957
1785111239.6740482,9957
1785111240.2154062,9957
1785111240.7596042,9956
1785111241.3014274,9956
1785111241.847274,9955
1785111242.3902934,7051
1785111242.9229436,7050
1785111243.465689,7034
1785111243.9946027,7034
1785111244.5249076,7034
1785111245.0553677,7034
1785111245.6021094,7029
1785111246.146105,7028
1785111246.6809132,7028
1785111247.211463,7028
1785111247.7475772,7028
1785111248.2912183,7032
1785111248.8222835,7032
1785111249.3668416,7032
1785111249.8977456,7032
1785111250.4409366,7032
1785111250.9831598,7032
1785111251.5142171,7027
1785111252.0442233,7031
1785111252.5908723,7031
1785111253.121944,7032
1785111253.6686153,7145
1785111254.2151914,7561
1785111254.753565,9023
1785111255.2991488,9023
1785111255.844505,9023
1785111256.3855848,9023
1785111256.9329596,9026
1785111257.4737937,9386
1785111258.0034926,9385
1785111258.5352232,9385
1785111259.0662584,9385
1785111259.611744,9385
1785111260.1422713,9385
1785111260.6734972,9380
1785111261.2049315,9380
1785111261.7478259,9380
1785111262.2917843,9380
1785111262.821895,9380
1785111263.3531766,9380
1785111263.8816645,9380
1785111264.4117074,9380
1785111264.955514,9380
1785111265.486602,9380
1785111266.0316617,9380
1785111266.5627468,9380
1785111267.0911684,9380
1785111267.6223552,9384
1785111268.1527078,9389
1785111268.6818588,9389
1785111269.2269042,9389
1785111269.7727573,9389
1785111270.3010724,9389
1785111270.8452778,9389
1785111271.3774915,9389
1785111271.9093215,9389
1785111272.452787,9412
1785111272.999546,9413
1785111273.5315588,9413
1785111274.0637968,9413
1785111274.6099536,9417
1785111275.1389983,9417
1785111275.682972,9418
1785111276.2306228,9417
1785111276.7608588,9417
1785111277.3064241,9415
1785111277.8373685,9415
1785111278.3689735,9415
1785111278.90007,9415
1785111279.4318326,9409
1785111279.974773,9405
1785111280.5218742,9414
1785111281.054088,9414
1785111281.586837,9414
1785111282.1339526,9414
1785111282.6787276,9417
1785111283.2096763,9417
1785111283.7397008,9420
1785111284.3026617,9412
1785111284.8480086,9412
1785111285.3783946,9412
1785111285.9094884,9413
1785111286.4564345,9413
1785111287.0012984,9413
1785111287.5461824,9413
1785111288.077182,9413
1785111288.6215932,9405
1785111289.1635377,9405
1785111289.6919177,9405
1785111290.2250865,9401
1785111290.7541227,9401
1785111291.296982,9401
1785111291.8408158,9401
1785111292.3833055,9401
1785111292.9287302,9401
1785111293.4712214,9401
1785111294.0196977,9665
1785111294.5573726,9707
1785111295.104623,9707
1785111295.6489134,9707
1785111296.1919603,9707
1785111296.7336447,9707
1785111297.2814877,9707
1785111297.8282228,9707
1785111298.3708973,9707
1785111298.9145927,9707
1785111299.4565997,9707
1785111300.0018685,9707
1785111300.5449312,9707
1785111301.108831,9707
1785111301.6462011,9707
1785111302.191773,9707
1785111302.7364433,9707
1785111303.336327,9707
1785111303.898148,9707
1785111304.4345837,10319
1785111304.9791543,12399
1785111305.5222063,12665
1785111306.0645113,12665
1785111306.6085331,12665
1785111307.1371038,12665
1785111307.6832056,12665
1785111308.2223964,12665
1785111308.7664306,12665
1785111309.296338,12665
1785111309.828335,12665
1785111310.3699646,12665
1785111310.8993523,12665
1785111311.441917,12665
1785111311.9856133,12665
1785111312.5260172,12665
1785111313.0677323,12665
1785111313.598839,12665
1785111314.1405256,12665
1785111314.6703744,12665
1785111315.201791,12665
1785111315.7454276,12665
1785111316.2907484,12665
1785111316.8224714,12665
1785111317.364091,12661
1785111317.8948553,12661
1785111318.4252422,12661
1785111318.971416,12661
1785111319.5121574,12661
1785111320.0441377,12661
1785111320.586499,12661
1785111321.132198,12661
1785111321.6762235,12661
